Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
"Pledge Furniture Polish, Orange - 300 ml",Pledge,30.75,بليدج ملمع للثاث برتقال 300م,بليدج,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف الزجاج والخشب/تلميع الأثاث,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h28/hff/10066215698462/130222_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h23/hfe/10066215600158/130222_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd0/hfe/10066215665694/130222_main.jpg_146Wx146H"
King Natural Shoe Polishing Liquid - 75gm...,King,21.75,كينج سائل تلميع احذية شفاف 75م,كنج,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbd/h9d/10065889755166/105687_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h25/ha1/10065889656862/105687_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h14/h9e/10065889722398/105687_main.jpg_146Wx146H"
King Black Shoe Sponge - 1 Piece,King,21.25,كينج اسفنجة تلميع احذية سوداء1ق,كنج,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h67/hfe/10066231984158/179993_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2f/hfe/10066231885854/179993_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbf/hfe/10066231951390/179993_main.jpg_146Wx146H"
Glade Air Freshener Apple Cinnamon Automatic Refill ...,Glade,57.95,جليد اوتو غيار تفاح قرفة 175ج,جلايد,أدوات التنظيف المنزلية/الشموع ومعطرات الجو/بخاخات وغيرها,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he5/h0d/10066682511390/341518_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7d/h0a/10066682413086/341518_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2b/h0b/10066682478622/341518_main.jpg_146Wx146H"
Clorel Blue Bleach For Colors - 500ml,Clorel,9.40,كلوريل مبيض ملبس الوان ازرق 500م,كلورل,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/مزيلات البقع والعناية بالأقمشة/تبييض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6a/hae/9346965602334/341171_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd2/hb1/9346965504030/341171_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h24/hb1/9346965569566/341171_main.jpg_146Wx146H"
Glade Ocean Escape Air Freshener Spray - 300ml...,Glade,24.95,جليد معطر جو هدوء البحر 300م,جلايد,أدوات التنظيف المنزلية/الشموع ومعطرات الجو/بخاخ عطري، جل وملطف الجو/بخاخ معطر جو,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h90/h25/10066962120734/377107_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf8/h28/10066962022430/377107_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4a/h28/10066962087966/377107_main.jpg_146Wx146H"
"Palc Cream Shoe Polish, Brown - 50 ml",Palc,32.15,بالك كريم تلميع احذية بني 50م,بالك,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he3/h0c/10066996985886/387675_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7b/h09/10066996887582/387675_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8d/h0c/10066996953118/387675_main.jpg_146Wx146H"
Clorox Colors - 475 ml,Clorox,10.50,كلوركس بقع لللوان 475 مل,كلوركس,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/مزيلات البقع والعناية بالأقمشة/تبييض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1e/h44/9377344684062/424207_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h87/h47/9377344585758/424207_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h76/h44/9377344651294/424207_main.jpg_146Wx146H"
Clorox Original Bleach - 450ml,Clorox,3.00,كلوركس مبيض عبوة 450مل,كلوركس,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/مزيلات البقع والعناية بالأقمشة/تبييض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hac/hb2/10067600932894/434189_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h44/haf/10067600834590/434189_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h55/hb2/10067600900126/434189_main.jpg_146Wx146H"
GLADE MINI GEL FRESHNER AQUA 70G,Glade,23.95,جليد مينى جل معطر اكوا 70ج,جلايد,أدوات التنظيف المنزلية/الشموع ومعطرات الجو/بخاخ عطري، جل وملطف الجو/جل,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h94/hff/9739886657566/474195_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h03/hfd/9739886559262/474195_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/heb/hff/9739886624798/474195_main.jpg_146Wx146H"
