Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
GIVREX GREEN BEANS400G,Givrex,12.45,جيفركس فاصوليا400ج,جيفركس&nbsp;,أطعمة مجمّدة/خضار وفواكه/الخضروات المجمدة/فاصوليا,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7f/h5b/9802357309470/12161_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2a/h58/9802357211166/12161_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd8/h58/9802357276702/12161_main.jpg_146Wx146H"
CHEF M GOLLASH 350G,Chef mimo,6.75,شف ام جلش 350ج,شيف ميمو,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/صفائح عجين جاهزة متعددة الاستخدامات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h38/h30/9286478790686/36586_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h68/h29/9286478594078/36586_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h77/h2f/9286478725150/36586_main.jpg_146Wx146H"
HAWAI ICE CREAM CHOCO HAZELNUT 1L,Hawaii,57.50,هاواي ايس كريم شوكولتة +قطع بندق1ل,هاواي,أطعمة مجمّدة/بوظة وحلويات/أكواب بوظة/أيس كريم حجم عائلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbe/h7e/9286563987486/12238_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h00/h78/9286563790878/12238_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0f/h7e/9286563921950/12238_main.jpg_146Wx146H"
AL KARAMA SPRING ROLL LARGE 250G,Al karamah,30.95,الكرامة سبرنج رول كبير250ج,الكرامة,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/ساموساس ، سبرينغ رولز وفطائر/مقبلات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha2/hc0/9286515818526/12924_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h60/hc7/9286515621918/12924_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha0/hc3/9286515752990/12924_main.jpg_146Wx146H"
CHEF M PIZZA MARGERITA 400G 2+1,Chef mimo,29.45,2+1 شف ام بيتزا مرجريتا 400ج,شيف ميمو,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/البيتزا والفطائر والمعجنات/جبنة بيتزا,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hda/h86/9801300148254/56271_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h42/h8a/9801300049950/56271_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h31/h87/9801300115486/56271_main.jpg_146Wx146H"
GIVREX BROAD BEANS 400G,Givrex,13.75,جيفركس فول اخضر400ج,جيفركس&nbsp;,أطعمة مجمّدة/خضار وفواكه/الخضروات المجمدة/فاصوليا,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h06/h8c/9286474858526/12165_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h49/h85/9286474661918/12165_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h08/h89/9286474792990/12165_main.jpg_146Wx146H"
Halwani Beef Burger - 2 kg,Halwani bros,149.95,حلوانى بيف برجر جامبو 2ك,حلواني إخوان,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/برغر وبطاطس وغيرها/لحم بقر برجر,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8d/h3d/9286579781662/38028_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5d/h44/9286579585054/38028_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4e/h3e/9286579716126/38028_main.jpg_146Wx146H"
SULTANA ICE CREAM VANILLA 1L,Sultana,48.95,سلطانة ايس كريم فانيليا 1ل,سلطانة,أطعمة مجمّدة/بوظة وحلويات/أكواب بوظة/أيس كريم حجم عائلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3b/hc9/9286552518686/160074_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf8/hcf/9286552322078/160074_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h39/hcc/9286552453150/160074_main.jpg_146Wx146H"
KING M TORTILLA SPICES*5P,King m,12.25,كنج ام تورتيل بالبهارات*5ق,كنج إم,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/تشاباتي، رابس وبراتا/لفائف,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd8/h63/9286516473886/276740_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha8/h6a/9286516277278/276740_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h99/h64/9286516408350/276740_main.jpg_146Wx146H"
ATYAB CHICKEN DRUMSTICK SPICY 700G,Atyab,55.95,اطياب دبوس دجاج حار 700ج,أطياب,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/دجاج جاهز للطبخ/دجاج مخبوز,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h46/hc6/9286560710686/278784_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h16/hcd/9286560514078/278784_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h56/hc9/9286560645150/278784_main.jpg_146Wx146H"
