Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
Beyti Tropicana Alexandrian Peach - 1 Liter...,Beyti,13.75,بيتى تروبيكانا خوخه اسكندرني 1لتر,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه مركّز,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbb/he4/10072237047838/511944_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha8/h99/10072236949534/511944_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h65/he4/10072237015070/511944_main.jpg_146Wx146H"
Taylors Rich Italian Roast 8 Capsules - Pack of 10...,Taylor's,105.00,تايلورز قهوه ايطالية 10كبسول,تايلورز,المشروبات/قهوة/البن المطحون والعادي/كبسولات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hab/h75/10072207065118/512235_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h96/h2a/10072206966814/512235_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h53/h75/10072207032350/512235_main.jpg_146Wx146H"
Taylors Cacao Superior Colombia Capsules - Pack of 1...,Taylor's,105.00,تايلورز قهوه كولومبيا 10كبسول,تايلورز,المشروبات/قهوة/البن المطحون والعادي/كبسولات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3a/h80/10072207392798/512236_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd2/h7c/10072207294494/512236_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he3/h7f/10072207360030/512236_main.jpg_146Wx146H"
Lipton Pure Green Tea - 100 Bags,Lipton,50.95,ليبتون شاي اخضر صافي 100ف,ليبتون,المشروبات/شاي/أكياس شاي/حقيبة خضراء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5c/h83/10072359108638/515983_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h07/h80/10072359010334/515983_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb5/h80/10072359075870/515983_main.jpg_146Wx146H"
Lipton Pure Green Tea - 25 Bags,Lipton,15.95,ليبتون شاي اخضر صافي 25ف,ليبتون,المشروبات/شاي/أكياس شاي/حقيبة خضراء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h83/hab/10072356585502/515984_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/heb/hae/10072356487198/515984_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdb/hab/10072356552734/515984_main.jpg_146Wx146H"
Beyti Tropicana Cocktail Juice - 1 Liter,Beyti,6.75,بيتى تروبيكانا كوكتيل 1ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h80/had/10038853533726/522686_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb0/ha6/10038853337118/522686_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6f/haa/10038853468190/522686_main.jpg_146Wx146H"
Beyti Tropicana Mango Juice - 1.5 Liters,Beyti,14.25,بيتى تروبيكانا مانجو 1.5ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hde/h27/10073028591646/522692_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb5/h23/10073028427806/522692_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h76/h24/10073028493342/522692_main.jpg_146Wx146H"
Beyti Tropicana Guava Juice - 1.5 Liters,Beyti,14.25,بيتى تروبيكانا جوافه 1.5ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha6/h1d/10073028296734/522691_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3e/h1a/10073028198430/522691_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4f/h1d/10073028263966/522691_main.jpg_146Wx146H"
Beyti Tropicana Cocktail Juice - 1.5 Liters...,Beyti,14.25,بيتى تروبيكانا كوكتيل 1.5ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h90/h19/10073028132894/522690_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h28/h16/10073028034590/522690_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h39/h19/10073028100126/522690_main.jpg_146Wx146H"
Beyti Tropicana Apple Juice - 1 Liter,Beyti,6.75,بيتى تروبيكانا تفاح 1ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4f/h52/10152604729374/522685_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0c/h59/10152604532766/522685_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4d/h55/10152604663838/522685_main.jpg_146Wx146H"
