Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
ZADNA AGWA MADINA 400GR,,216.95,زادنا تمر عجوة المدينة 400جرام,,أطعمة طازجة/الخضار والفواكه/الفاكهة/تمر,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9b/h0f/9342602313758/507741_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcb/h08/9342602117150/507741_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8a/h0c/9342602248222/507741_main.jpg_146Wx146H"
DOMTY CHOCOLATE CREAM 400G,Domty,46.45,دومتى كريمى شيكولتة 400 ج,دومتي,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبن جاهز وقابل للدهن,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h95/hb3/10069689761822/500625_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2d/hb0/10069689663518/500625_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2b/hb3/10069689729054/500625_main.jpg_146Wx146H"
DINA FARMS RAYEB  400 M,Dina farms,7.75,مزارع دينا رايب  400 ملي,دينا فارمز,أطعمة طازجة/منتجات الألبان والبيض/الزبادي/زبادي للشرب,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdf/hd1/9286793494558/487178_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb0/hd8/9286793297950/487178_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha0/hd2/9286793429022/487178_main.jpg_146Wx146H"
VIOLIFE MOZARELLA BLOCK 200G,,46.95,فيوليف بلوك بيتزاموتزريل200ج,,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبن جاهز وقابل للدهن,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb9/h31/10070352166942/509025_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h21/h35/10070352068638/509025_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h10/h32/10070352134174/509025_main.jpg_146Wx146H"
HEALTHY YOGURT FULL CREAM 3K,HEALTHY,59.75,هيلثى جالون زبادى كريمى 3ك,هلثي,أطعمة طازجة/منتجات الألبان والبيض/الزبادي/الزبادي العادي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h70/h51/10070293217310/508361_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h09/h4e/10070293119006/508361_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc9/h4e/10070293184542/508361_main.jpg_146Wx146H"
DOMTY MOZZARELL 500 G,Domty,45.50,دومتى موزاريل قطع 500 جرام,دومتي,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبنة مبشورة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h48/h60/9286827966494/486269_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h77/h59/9286827769886/486269_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h99/h5f/9286827900958/486269_main.jpg_146Wx146H"
JUHAYNA LIGHT YOGHURT 180G,Juhayna,4.85,جهينة زبادي ليت 180ج,جهينة,أطعمة طازجة/منتجات الألبان والبيض/الزبادي/زبادي قليلة الدسم,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha0/he9/9286900187166/498872_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h80/he2/9286899990558/498872_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf2/he8/9286900121630/498872_main.jpg_146Wx146H"
FUNNY SPREAD CHEESE PEPPER 110G,LAMDY,3.95,فنيى جبنة سبريد فلفل 110ج,لامدي,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبن جاهز وقابل للدهن,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h80/h47/9347190292510/499110_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb0/h40/9347190095902/499110_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbf/h46/9347190226974/499110_main.jpg_146Wx146H"
Sunny Mixed Butter - 1 kg,Sunny,30.95,صنى زبدة خليط 1ك,صني,أطعمة طازجة/منتجات الألبان والبيض/الزبدة و السمن/سمن,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h18/h8c/9286920241182/494256_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h48/h85/9286920044574/494256_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h07/h89/9286920175646/494256_main.jpg_146Wx146H"
NESTLE GO MIX PEACH & APRICOT 200G,Nestle,5.75,نسله مشروب جو ميكس خوخ ومشمش 200ج,نستله,أطعمة طازجة/منتجات الألبان والبيض/الزبادي/زبادي للشرب,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9a/h93/9347211755550/510242_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6a/h9a/9347211558942/510242_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h97/h96/9347211690014/510242_main.jpg_146Wx146H"
Snow Red Apples,,21.95,تفاح برنس,,أطعمة طازجة/الخضار والفواكه/الفاكهة/تفاح,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6e/ha6/10069668626462/498140_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h06/ha3/10069668528158/498140_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc7/ha3/10069668593694/498140_main.jpg_146Wx146H"
Almarai Treats Pear & Caramel Yogurt - 100 gm...,Almarai,3.95,المراعى زبادى تريتس كمثرى 100ج,المراعي,أطعمة طازجة/منتجات الألبان والبيض/الزبادي/زبادي منكهة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hfb/h83/9286809223198/468517_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcb/h8a/9286809026590/468517_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0c/h87/9286809157662/468517_main.jpg_146Wx146H"
DUETTO MILK SHAKE CHOCOLATE 220M,Lactel,6.50,دويتو ميلك شيك شوكولته 220م,لاكتل,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h91/h39/9286843039774/466898_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd6/h14/9286842843166/466898_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h17/h11/9286842974238/466898_main.jpg_146Wx146H"
