Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
ETOILE NUTS BASIMA,,25.00,بسيمة مكسرات كبير,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbe/h50/9501521412126/496936_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8e/h57/9501521215518/496936_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcf/h53/9501521346590/496936_main.jpg_146Wx146H"
N.Croissant Jumbo,,9.95,كرواسون جامبو,,المخبوزات/كرواسان، باستري وكيك/كرواسون وغيره,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h34/h94/9342689148958/486530_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9c/he2/9342688952350/486530_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h32/h97/9342689083422/486530_main.jpg_146Wx146H"
ORIENTAL FETEER MIX S,,34.95,فطير شرقى صغير,,المخبوزات/خبز عربي، راب وغيرها/الخبز الخاص المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcf/hb5/10067969572894/464568_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h67/hb2/10067969474590/464568_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h78/hb5/10067969540126/464568_main.jpg_146Wx146H"
HEALTHY BISCUIT,,24.95,بسكويت هيلثى,,المخبوزات/خبز عربي، راب وغيرها/الخبز الأبيض المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h48/h84/9342464688158/501228_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h05/h8b/9342464491550/501228_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf6/h84/9342464622622/501228_main.jpg_146Wx146H"
N.CHEESE PATE,,6.75,باتية بالجبنة,,المخبوزات/كرواسان، باستري وكيك/كرواسون وغيره,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h85/h29/9342542413854/486533_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb6/h22/9342542217246/486533_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h75/h26/9342542348318/486533_main.jpg_146Wx146H"
SWEET FETEER MIX S,,24.95,فطير حلو صغير,,المخبوزات/خبز عربي، راب وغيرها/الخبز الخاص المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd9/h09/9342851481630/464572_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h09/h03/9342851285022/464572_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h18/h09/9342851416094/464572_main.jpg_146Wx146H"
ETOILE HAZELNUT PACKET,,35.00,باكيت بندقية كبير,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h21/h4b/9501657071646/496929_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9d/h99/9501656875038/496929_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he2/h4b/9501657006110/496929_main.jpg_146Wx146H"
CINNAMON STICKS PACK,,19.95,باكت سينامون ستيكس,,المخبوزات/خبز عربي، راب وغيرها/الخبز الخاص المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h92/haa/9342569349150/484550_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd4/ha3/9342569152542/484550_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h93/ha7/9342569283614/484550_main.jpg_146Wx146H"
HALAWA ALMOLED CARTON 1 KG,,49.95,علبة حلوة المولد 1ك,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0c/hf9/9501655760926/459808_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3c/hf2/9501655564318/459808_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hfb/hf5/9501655695390/459808_main.jpg_146Wx146H"
VEGETABLE FETEER L,,34.95,فطير خضروات كبير,,المخبوزات/خبز عربي، راب وغيرها/الخبز الخاص المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd7/h9a/9342508400670/464569_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha7/ha1/9342508204062/464569_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he8/h9d/9342508335134/464569_main.jpg_146Wx146H"
MEDIUM BRAN BREAD,,4.70,خبز وسط بالردة,,المخبوزات/خبز عربي، راب وغيرها/الخبز الأبيض المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha8/h71/9342807310366/441874_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd8/h6a/9342807113758/441874_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h97/h6e/9342807244830/441874_main.jpg_146Wx146H"
ETOILE SESAME PACKET,,15.00,علف سمسم كبير,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h88/h16/9501522395166/496939_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb8/h0f/9501522198558/496939_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc7/h15/9501522329630/496939_main.jpg_146Wx146H"
ETOILE PEANUTS PACKET,,20.00,علف فول كبير,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf9/h0b/9501522067486/496938_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6f/h42/9501521870878/496938_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4a/h0b/9501522001950/496938_main.jpg_146Wx146H"
N.CROISSANT,,5.95,كرواسون,,المخبوزات/كرواسان، باستري وكيك/كرواسون وغيره,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hde/h93/9342543462430/486531_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0d/h8d/9342543265822/486531_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcc/h90/9342543396894/486531_main.jpg_146Wx146H"
RICHBAKE MUFFIN VANILLA 3P,Rich bake,15.45,ريتش بيك مافن فانيليا 3ق,ريتش بيك,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h65/had/10068017676318/464172_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcd/hb0/10068017578014/464172_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbc/had/10068017643550/464172_main.jpg_146Wx146H"
ROUKAK,,24.95,رقاق,,المخبوزات/خبز عربي، راب وغيرها/الخبز الخاص المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd1/h63/10068327694366/475414_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h39/h67/10068327596062/475414_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h28/h64/10068327661598/475414_main.jpg_146Wx146H"
PACKET HALWYAT MIX,,24.95,باكت حلوة مشكل,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcc/h30/9501518790686/478652_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9c/h37/9501518594078/478652_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8d/h31/9501518725150/478652_main.jpg_146Wx146H"
ETOILE MALBAN FORAST PACKET,,25.00,باكت ملبن اوريجنال فورست,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3b/h2e/9501519446046/518496_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6a/h27/9501519249438/518496_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3d/h2b/9501519380510/518496_main.jpg_146Wx146H"
FETEER MESHALTET S,,34.95,فطير مشلتت صغير,,المخبوزات/خبز عربي، راب وغيرها/الخبز الخاص المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h05/h59/10067968917534/464566_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9d/h55/10067968819230/464566_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5d/h56/10067968884766/464566_main.jpg_146Wx146H"
N.BROWN LONG FINO,,1.75,خبز فينو بنى كبير,,المخبوزات/خبز وغيره/شطائر الخبز,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h05/haf/9342556897310/486512_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h98/haa/9342556700702/486512_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h57/hae/9342556831774/486512_main.jpg_146Wx146H"
VEGETABLE FETEER S,,24.95,فطير خضروات صغير,,المخبوزات/خبز عربي، راب وغيرها/الخبز الخاص المحلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1f/h3e/9342509056030/464570_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9b/h8c/9342508859422/464570_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc9/h88/9342508990494/464570_main.jpg_146Wx146H"
PACKET HOMSIA,,29.95,باكت حمصية,,المخبوزات/حلويات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1b/h3f/9501518331934/478651_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h83/h42/9501518233630/478651_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd4/h41/9501518299166/478651_main.jpg_146Wx146H"
N.CIABATTA PLAIN,,4.95,خبز شيباتا,,المخبوزات/خبز وغيره/خبز فرنسي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0b/hf5/9347558146078/486528_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8f/ha6/9347557949470/486528_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0d/hf2/9347558080542/486528_main.jpg_146Wx146H"
Pate Jumbo,,14.95,باتية قطعة,,المخبوزات/كرواسان، باستري وكيك/كرواسون وغيره,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h90/h61/9342802395166/481190_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc0/h5a/9342802198558/481190_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcf/h60/9342802329630/481190_main.jpg_146Wx146H"
Oat Cookies Jar,,29.95,برطمان كوكيز شوفان,,المخبوزات/حلوى الدونات، الكوكي والمافن/الكوكي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd9/h34/10072913575966/521724_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h41/h38/10072913477662/521724_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h30/h35/10072913543198/521724_main.jpg_146Wx146H"
Chocolate Cookies Jar,,29.95,برطمان كوكيز شيكولتة,,المخبوزات/حلوى الدونات، الكوكي والمافن/الكوكي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha9/h3b/10072913379358/521723_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbf/h3f/10072913215518/521723_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h00/h3c/10072913346590/521723_main.jpg_146Wx146H"
