Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
Fanta Green Apple - 250 ml,Fanta,3.80,فانتا تفاح اخضر 250م,فانتا,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/نكهات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc4/h37/10067166691358/404926_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5c/h34/10067166593054/404926_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h59/h37/10067166658590/404926_main.jpg_146Wx146H"
"Safi Natural Water, 1.5 Liter - Pack of 12...",Safi,31.45,12*صافي مياه 1.5 لتر,سافي,المشروبات/ماء/مياه عادية,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7f/h31/9912997576734/464914_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he7/h34/9912997478430/464914_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd6/h31/9912997543966/464914_main.jpg_146Wx146H"
BiG Green Apple - 2 Liter,Big,10.95,بيج تفاح اخضر 2ل,بيغ,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/نكهات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdc/h6a/10068170375198/472242_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h74/h67/10068170276894/472242_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h85/h6a/10068170342430/472242_main.jpg_146Wx146H"
FLO NATURAL WATER 600M*12,Flo,73.00,12* فلو مياه طبيعية 600م,اف إل أو,المشروبات/ماء/مياه عادية,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h21/h1b/10068200357918/474679_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h89/h1e/10068200259614/474679_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h77/h1b/10068200325150/474679_main.jpg_146Wx146H"
FLO NATURAL WATER 1.25L*9,Flo,84.50,9* فلو مياه طبيعية 1.25ل,اف إل أو,المشروبات/ماء/مياه عادية,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h79/h2c/10068199866398/474683_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he1/h2f/10068199768094/474683_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd0/h2c/10068199833630/474683_main.jpg_146Wx146H"
FLO NATURAL WATER 330M*16,Flo,69.90,16* فلو مياه طبيعية 330م,اف إل أو,المشروبات/مشروبات الأطفال/مياه الاطفال,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9d/h25/10068200030238/474681_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h68/h29/10068199931934/474681_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hba/h28/10068199997470/474681_main.jpg_146Wx146H"
Barbican Malt Drink - 250ml,Barbican,7.75,باربيكان شراب شعير 250م,باربيكان,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/مشروبات الشعير,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7b/h7f/10068505853982/480463_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he3/h82/10068505755678/480463_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd2/h7f/10068505821214/480463_main.jpg_146Wx146H"
Rani Peach Juice - 1 Liter,Rani,12.45,رانى خوخ عصير 1ل,راني,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه مركّز,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd1/hf8/10066960154654/365757_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h90/hfc/10066960023582/365757_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h28/hf9/10066960121886/365757_main.jpg_146Wx146H"
Hayat Natural Water - 1.5 Liter,Hayat,3.75,حياة مياه طبيعية 1.5ل,حياة,المشروبات/ماء/مياه عادية,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h85/hce/8996906795038/3719_main.jpeg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h56/hd5/8996906598430/3719_main.jpeg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h47/hcf/8996906729502/3719_main.jpeg_146Wx146H"
Barbican Pineapple Malt Drink - 330ml,Barbican,11.45,باربيكان شراب شعير اناناس 330م,باربيكان,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/مشروبات الشعير,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd0/h2b/10066116083742/179217_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h42/h1f/10066115985438/179217_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h79/h2b/10066116050974/179217_main.jpg_146Wx146H"
